input_file,sample_name,output_dir,unit_kind,status,n_units,reason
/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cross_organ/seurat_k40/seurat_k40_all_organs_11.5.h5ad,seurat_k40_all_organs_11.5,/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cci/cross_organ/seurat_k40,domain,error,120,ValueError: Canonicalized domain ids are not unique.
/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cross_organ/seurat_k40/seurat_k40_all_organs_12.5.h5ad,seurat_k40_all_organs_12.5,/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cci/cross_organ/seurat_k40,domain,error,120,ValueError: Canonicalized domain ids are not unique.
/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cross_organ/seurat_k40/seurat_k40_all_organs_13.5.h5ad,seurat_k40_all_organs_13.5,/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cci/cross_organ/seurat_k40,domain,error,120,ValueError: Canonicalized domain ids are not unique.
/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cross_organ/seurat_k40/seurat_k40_all_organs_14.5.h5ad,seurat_k40_all_organs_14.5,/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cci/cross_organ/seurat_k40,domain,error,120,ValueError: Canonicalized domain ids are not unique.
