input_file,sample_name,output_dir,unit_kind,status,n_units,reason
/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cross_organ/louvain_k150/louvain_k150_all_organs_11.5.h5ad,louvain_k150_all_organs_11.5,/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cci/cross_organ/louvain_k150,domain,error,450,ValueError: Canonicalized domain ids are not unique.
/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cross_organ/louvain_k150/louvain_k150_all_organs_12.5.h5ad,louvain_k150_all_organs_12.5,/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cci/cross_organ/louvain_k150,domain,error,450,ValueError: Canonicalized domain ids are not unique.
/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cross_organ/louvain_k150/louvain_k150_all_organs_13.5.h5ad,louvain_k150_all_organs_13.5,/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cci/cross_organ/louvain_k150,domain,error,450,ValueError: Canonicalized domain ids are not unique.
/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cross_organ/louvain_k150/louvain_k150_all_organs_14.5.h5ad,louvain_k150_all_organs_14.5,/home/jovyan/public/datasets/Mouse-embryo/E1S1_domain_factory/cci/cross_organ/louvain_k150,domain,error,300,ValueError: Canonicalized domain ids are not unique.
