variant,K,graph,local,train_delta,strict_delta,strict_norm,hardK_t,hardK_tp,Keff_t,Keff_tp
K150_integrated_legacy,150,cci_g_integrated,legacy_features,0.987100336542034,0.3650800069567586,0.3678405950358607,22,23,22.78504180908203,20.66368865966797
K40_integrated_legacy,40,cci_g_integrated,legacy_features,1.030981890510093,0.2924995432725152,0.2947797991899703,7,8,7.471632957458496,6.393660068511963
K64_cci_only_legacy,64,cci_only,legacy_features,1.1760418517637723,0.5284004724651599,0.5320961780937079,10,9,10.206252098083496,10.096988677978516
K64_integrated_all_features,64,cci_g_integrated,all_features,1.215506199311592,0.6599490270443056,0.6537417913700843,11,11,11.159966468811035,9.831822395324707
K64_integrated_coords,64,cci_g_integrated,coords,1.168435890928146,0.4511784089789739,0.4517030320970887,10,11,9.673757553100586,8.969005584716797
K64_integrated_legacy,64,cci_g_integrated,legacy_features,1.1568024332678115,0.6487299134816906,0.639571652149078,10,12,9.825736045837402,10.097429275512695
