epoch,loss,L_align,L_align_t,L_align_tp,EI_micro_fixed,EI_macro,delta_EI,L_var,L_local,L_sharp,L_proto,L_min_usage,L_max_usage,Keff_t,Keff_tp,hardK_t,hardK_tp,usage_t_min,usage_t_max,usage_tp_min,usage_tp_max
1,8.89017105102539,2.4057435989379883,0.26261937618255615,4.548867702484131,3.2364661693573,0.0016369819641113281,-3.2348291873931885,0.0,0.04150967299938202,0.7359426021575928,0.0002489680191501975,0.0,0.0,30.64918327331543,37.207183837890625,27,35,0.0005088357138447464,0.10422181338071823,0.0004390352696646005,0.07354927062988281
2,8.887324333190918,2.4134936332702637,0.28845638036727905,4.5385308265686035,3.2364661693573,0.006636619567871094,-3.2298295497894287,0.0,0.0479218028485775,0.7061668634414673,0.00024325695994775742,0.0,0.0,26.98016929626465,33.50816345214844,25,31,0.00045233461423777044,0.11523264646530151,0.0004423891077749431,0.08273899555206299
3,8.87547492980957,2.416656494140625,0.30631446838378906,4.526998519897461,3.2364661693573,0.0142669677734375,-3.2221992015838623,1.1658004950731993e-05,0.0532815158367157,0.6853518486022949,0.00023928975861053914,0.0,6.53614042676054e-05,25.133638381958008,30.849109649658203,25,28,0.0004152784822508693,0.136433407664299,0.0004213138890918344,0.09386707842350006
4,8.854623794555664,2.414278268814087,0.3131787180900574,4.515377998352051,3.2364661693573,0.023090839385986328,-3.2133753299713135,2.7141155442222953e-05,0.056101683527231216,0.6760157346725464,0.00023744950885884464,0.0,0.0,25.608705520629883,28.50379180908203,25,26,0.0003949622332584113,0.12466909736394882,0.0004019248590338975,0.10497109591960907
5,8.833738327026367,2.4128191471099854,0.3217281699180603,4.503910064697266,3.2364661693573,0.033349037170410156,-3.2031171321868896,2.9864575481042266e-05,0.05938665196299553,0.6629490852355957,0.00023724086349830031,0.0,0.00013484257215168327,24.9467830657959,26.593963623046875,25,25,0.0003669254947453737,0.1414220929145813,0.0003942940093111247,0.11645739525556564
6,8.819551467895508,2.418807029724121,0.34520286321640015,4.492411136627197,3.2364661693573,0.042719364166259766,-3.19374680519104,6.933900294825435e-06,0.06014376878738403,0.6585490703582764,0.000239023647736758,0.0,2.5095391720242333e-06,25.556774139404297,25.27155303955078,25,23,0.0003524112980812788,0.12217797338962555,0.00039587123319506645,0.12724032998085022
7,8.802118301391602,2.421558380126953,0.36269456148147583,4.480422019958496,3.2364661693573,0.052937984466552734,-3.183528184890747,0.0,0.061373963952064514,0.6518396735191345,0.0002402404643362388,0.0,4.192583219264634e-05,25.422353744506836,24.138839721679688,26,20,0.00033861937117762864,0.12836328148841858,0.0004256295505911112,0.1335170418024063
8,8.77794075012207,2.4200353622436523,0.37326759099960327,4.466803073883057,3.2364661693573,0.06450271606445312,-3.1719634532928467,0.0,0.06183195114135742,0.6478759050369263,0.00024131576356012374,0.0,9.722982940729707e-05,25.339263916015625,23.5354061126709,28,20,0.00033321327646262944,0.13894487917423248,0.000386015948606655,0.11797942221164703
9,8.765803337097168,2.425750732421875,0.39856022596359253,4.452941417694092,3.2364661693573,0.07292842864990234,-3.1635377407073975,0.0,0.062018658965826035,0.6463885307312012,0.0002426559804007411,0.0,0.0,26.228239059448242,22.625167846679688,26,22,0.0003393538645468652,0.1203208714723587,0.00034467875957489014,0.12025579065084457
10,8.754375457763672,2.4299230575561523,0.42044952511787415,4.439396381378174,3.2364661693573,0.0807504653930664,-3.1557157039642334,0.0,0.06314978748559952,0.6409158706665039,0.0002443574776407331,0.0,1.5484129107790068e-05,26.38142204284668,21.542179107666016,28,19,0.000327430636389181,0.12061101198196411,0.000316519639454782,0.13056491315364838
11,8.721183776855469,2.4333548545837402,0.4376380443572998,4.429071426391602,3.2364661693573,0.09893035888671875,-3.137535810470581,0.0,0.0642956793308258,0.6353908181190491,0.0002456579532008618,0.0,0.0,26.141836166381836,20.77752113342285,26,19,0.00030013301875442266,0.12055303156375885,0.00030673042056150734,0.11653031408786774
12,8.693914413452148,2.434276580810547,0.4507894515991211,4.417763710021973,3.2364661693573,0.11301136016845703,-3.1234548091888428,9.542593033984303e-06,0.06576690077781677,0.6281260251998901,0.0002470503095537424,0.0,1.0590848432912026e-05,25.843830108642578,19.76022720336914,26,20,0.0002826680429279804,0.11929485946893692,0.00030201327172107995,0.1296023577451706
13,8.669466018676758,2.4342739582061768,0.46329352259635925,4.405254364013672,3.2364661693573,0.1257152557373047,-3.110750913619995,2.6474648620933294e-05,0.06734227389097214,0.6205326318740845,0.0002491011982783675,0.0,0.00012022423470625654,25.617937088012695,18.730070114135742,27,20,0.00027040360146202147,0.11766695231199265,0.00030594447162002325,0.13701605796813965
14,8.64736270904541,2.4343721866607666,0.47589534521102905,4.392848968505859,3.2364661693573,0.13643455505371094,-3.100031614303589,3.185798414051533e-05,0.06851692497730255,0.6168422698974609,0.00025109309353865683,0.0,5.07947443111334e-05,25.644990921020508,18.30880355834961,26,19,0.0002533321385271847,0.11731193214654922,0.0003046162019018084,0.13207177817821503
15,8.632071495056152,2.433314800262451,0.48675253987312317,4.379877090454102,3.2364661693573,0.1432790756225586,-3.093187093734741,3.740776446647942e-05,0.06930383294820786,0.6147504448890686,0.0002533640363253653,0.0,0.0,25.68184471130371,18.168973922729492,27,20,0.00023705196508672088,0.11850762367248535,0.0003015014517586678,0.12400408834218979
16,8.61879825592041,2.4324185848236084,0.4985235929489136,4.366313457489014,3.2364661693573,0.1495037078857422,-3.0869624614715576,3.767732414416969e-05,0.07038075476884842,0.6109098196029663,0.00025555884349159896,0.0,1.4672371435153764e-05,25.554197311401367,17.838415145874023,27,19,0.00022142575471661985,0.1202101856470108,0.0002887638402171433,0.1304170787334442
17,8.60477352142334,2.4306254386901855,0.5089936852455139,4.352257251739502,3.2364661693573,0.15572309494018555,-3.0807430744171143,2.9504328267648816e-05,0.071369968354702,0.6065553426742554,0.0002577562117949128,0.0,4.500373324844986e-05,25.19761085510254,17.54582405090332,27,18,0.00020539556862786412,0.1221829429268837,0.0002666320069693029,0.13448722660541534
18,8.589946746826172,2.427846908569336,0.5179672837257385,4.337726593017578,3.2364661693573,0.16166400909423828,-3.0748021602630615,1.1371128493919969e-05,0.07227511703968048,0.6018632650375366,0.00025985087268054485,0.0,3.949593519791961e-05,24.62502098083496,17.313032150268555,26,19,0.00019076146418228745,0.13342928886413574,0.00025420438032597303,0.12781761586666107
19,8.57680606842041,2.425224781036377,0.5280036926269531,4.322445869445801,3.2364661693573,0.16689729690551758,-3.0695688724517822,0.0,0.07334071397781372,0.5980323553085327,0.00026201060973107815,0.0,4.303273817640729e-05,24.583148956298828,16.906570434570312,25,19,0.00017914714408107102,0.1278514266014099,0.00024324728292413056,0.13307394087314606
20,8.563101768493652,2.421658754348755,0.5362095832824707,4.307107925415039,3.2364661693573,0.17190837860107422,-3.0645577907562256,0.0,0.0744590014219284,0.5937153100967407,0.0002644092310220003,0.0,4.0016049752011895e-05,24.489316940307617,16.445453643798828,27,19,0.00016815440903883427,0.12605413794517517,0.0002296865568496287,0.13151037693023682
