time_pair,mode,EI_micro,EI_macro,deltaEI
11.5->12.5,N-only,0.004654025404898121,0.0001019803136710351,-0.004552045091227086
11.5->12.5,G-only,0.8549920834777947,1.5072119499203147,0.6522198664425201
11.5->12.5,N+G,0.8584988116735808,1.5072287251552714,0.6487299134816906
12.5->13.5,N-only,0.003966910445477367,7.415562712864698e-05,-0.0038927548183487204
12.5->13.5,G-only,0.3595799396285262,0.5799610151342787,0.22038107550575248
12.5->13.5,N+G,0.3609979077803622,0.5799939180418789,0.21899601026151672
13.5->14.5,N-only,0.00426372327293123,8.24298115009725e-06,-0.004255480291781133
13.5->14.5,G-only,0.017842378095961564,0.13038198957252334,0.11253961147656177
13.5->14.5,N+G,0.02030144754181329,0.13065228617364877,0.11035083863183548
