time_pair,EI_micro,training_delta,strict_delta,strict_rownorm_delta,best_epoch,hardK_t,hardK_tp,Keff_t,Keff_tp,max_frac_t,max_frac_tp,confidence_t,confidence_tp
11.5→12.5,0.8584988116735808,1.3824665546417236,0.5829921665368207,0.5723631800160485,1497,15,11,9.51205062866211,7.963265419006348,0.13708260105448156,0.16538461538461538,0.7478163242340088,0.6757610440254211
12.5→13.5,0.3609979077803622,0.5782673358917236,-0.0543598822546123,-0.0583843880016567,1497,13,10,10.107446670532227,9.371838569641113,0.14102564102564102,0.1783132530120482,0.7455601096153259,0.48629096150398254
13.5→14.5,0.0203014475418132,0.6963423490524292,0.0657961963972306,0.0574920678754127,1498,10,12,8.290575981140137,8.857735633850098,0.1823293172690763,0.14092140921409213,0.5952322483062744,0.6836192607879639
