time_pair,EI_micro,training_delta,strict_delta,strict_rownorm_delta,best_epoch,hardK_t,hardK_tp,Keff_t,Keff_tp,max_frac_t,max_frac_tp,confidence_t,confidence_tp
11.5→12.5,0.8584988116735808,2.2952539920806885,2.197041317143868,2.196889159737627,1488,9,14,8.001004219055176,9.200406074523926,0.20855301698886936,0.17115384615384616,0.5289965271949768,0.6252409815788269
12.5→13.5,0.3609979077803622,1.7581310272216797,1.75597443440145,1.759632709111291,1479,7,13,7.290887355804443,8.795133590698242,0.18653846153846154,0.15421686746987953,0.49079927802085876,0.6048828363418579
13.5→14.5,0.0203014475418132,2.9693808555603027,2.9708896088015533,2.9714048344733524,1438,11,19,9.10094165802002,8.864724159240723,0.19036144578313252,0.1659891598915989,0.5139375925064087,0.5089283585548401
