time_pair,EI_micro,training_delta,strict_delta,strict_rownorm_delta,best_epoch,hardK_t,hardK_tp,Keff_t,Keff_tp,max_frac_t,max_frac_tp,confidence_t,confidence_tp
11.5→12.5,0.8584988116735808,1.750194072723389,1.6753201960588506,1.6773860088740955,295,12,15,11.70688533782959,11.431025505065918,0.2190978324545987,0.1935897435897436,0.44348379969596863,0.5076643824577332
12.5→13.5,0.3609979077803622,1.4479138851165771,1.4483342924774014,1.4512389727138073,300,9,12,8.80013656616211,10.133557319641113,0.24102564102564103,0.1927710843373494,0.3780001103878021,0.46219781041145325
13.5→14.5,0.0203014475418132,2.785641431808472,2.785993516348512,2.784912767227479,298,9,10,9.138813972473145,8.595953941345215,0.17670682730923695,0.1619241192411924,0.5086182355880737,0.5193325281143188
