epochs,train,strict,strict_norm,hardK_t,hardK_tp,Keff_t,Keff_tp
2,0.2115272455126531,0.1621725930460016,0.165691562274822,13,13,28.32645797729492,25.94948005676269
5,0.3799940623884721,0.0620598145705963,0.0635559667508856,18,20,33.695186614990234,32.280513763427734
10,0.4562329785763168,-0.0660583283088547,-0.0624409124811426,20,22,33.162193298339844,33.528987884521484
30,0.5297772371159359,-0.1529561667345786,-0.1518376343904188,11,21,23.67221450805664,27.32474136352539
100,0.8271594580834094,0.1650302512120056,0.1658005001212448,9,10,14.486602783203123,13.698171615600586
200,1.0214895357416562,0.3124412523178881,0.312668576956792,10,13,12.048994064331056,12.147622108459473
300,1.1568024332678115,0.6487299134816906,0.639571652149078,10,12,9.825736045837402,10.097429275512695
