time_pair,mode,EI_micro,EI_macro,deltaEI
11.5→12.5,N-only,0.0046540254048981,0.000101980313671,-0.004552045091227
11.5→12.5,G-only,0.8549920834777947,1.5072119499203147,0.6522198664425201
11.5→12.5,N+G,0.8584988116735808,1.5072287251552714,0.6487299134816906
12.5→13.5,N-only,0.0039669104454773,7.415562712864698e-05,-0.0038927548183487
12.5→13.5,G-only,0.3595799396285262,0.5799610151342787,0.2203810755057524
12.5→13.5,N+G,0.3609979077803622,0.5799939180418789,0.2189960102615167
13.5→14.5,N-only,0.0042637232729312,8.24298115009725e-06,-0.0042554802917811
13.5→14.5,G-only,0.0178423780959615,0.1303819895725233,0.1125396114765617
13.5→14.5,N+G,0.0203014475418132,0.1306522861736487,0.1103508386318354
